9 0 68 0.001000 
4 1 22 0.001000 
2 1 20 0.000000 
6 1 23 0.000000 
14 2 115 0.000000 
10 9 17 0.001000 
15 3 123 0.001000 
7 4 20 0.001000 
9 1 99 0.000000 
12 5 30 0.001000 
11 10 19 0.001000 
13 1 87 0.001000 
2 1 20 0.001000 
9 3 43 0.000000 
2 1 19 0.000000 
297 225 34 0.230000 
298 64 175 0.046000 
336 239 40 0.261000 
144 50 81 0.023000 
410 245 66 0.328000 
112 40 80 0.018000 
450 227 85 0.309000 
271 248 20 0.227000 
112 90 23 0.033000 
163 18 245 0.008000 
462 241 109 0.346000 
91 78 20 0.024000 
39 32 25 0.006000 
58 32 47 0.008000 
175 17 306 0.008000 
