9 0 68 0.006000 
4 1 22 0.003000 
2 1 20 0.001000 
6 1 23 0.004000 
14 2 61 0.020000 
10 9 17 0.021000 
15 3 48 0.029000 
7 4 20 0.006000 
9 1 60 0.005000 
12 5 27 0.022000 
11 10 19 0.024000 
13 1 79 0.011000 
2 1 20 0.001000 
9 3 32 0.008000 
2 1 19 0.001000 
297 225 20 2586.062000 
298 64 54 962.282000 
336 239 20 3962.393000 
144 50 36 88.583000 
410 245 24 7540.732000 
112 40 35 34.539000 
450 227 28 9549.370000 
271 248 20 2091.210000 
112 90 20 64.172000 
163 18 97 53.948000 
462 241 27 10853.696000 
91 78 20 31.258000 
39 32 20 1.283000 
58 32 27 4.069000 
175 17 108 63.425000 
